Nom du commerce;Adresse;Code postal;Type de commerce;Fabriqué à Paris;Services;Description;Précisions;Site internet;Téléphone;Mail;geo_shape;geo_point_2d
L’Atelier d’Aurore;4 place Etienne Pernet;75015;Fleuriste;non;Livraisons à domicile, Retrait de commandes en magasin;Un petit coin de nature au cœur du 15eme arrondissement. Du simple bouquet pour se faire plaisir au compositions les plus sophistiquées en passant par des plantes d’intérieur ou d’extérieur.;;https://m.facebook.com/pages/category/Florist/LAtelier-DAurore-109511887390488/;01 45 31 60 42;atelier.aurore.fleuriste@gmail.com;"{""coordinates"": [2.292553510529321, 48.84357751631794], ""type"": ""Point""}";48.84357751631794, 2.292553510529321
McDonald's;7 Place Gambetta;75020;Restaurant ou traiteur;non;Livraisons à domicile, Retrait de commandes en magasin;"1 Bte de Nuggets6 offerte pour tout Menu B.Of / MaxiB.Of acheté en vente à emporter
1 Menu MaxiB.Of Offert pour l'achat d'un Menu identique en C&Collect
Livraison via Appli McDo / Deliveroo / UberEat";;https://www.mcdonalds.fr/commande/restaurants;01 43 60 09 60;Mcdonalds@mcd.com;"{""coordinates"": [2.3979065927891985, 48.86477572339999], ""type"": ""Point""}";48.86477572339999, 2.3979065927891985
Pizzeria Luciana;187 rue St Jacques;75005;Restaurant ou traiteur;non;Retrait de commandes en magasin;Restaurant Pizzeria Luciana;;;06 20 64 06 14;Ramadan94270@gmail.com;"{""coordinates"": [2.342561035831773, 48.84523858722876], ""type"": ""Point""}";48.84523858722876, 2.342561035831773
FRIC-FRAC;79 quai de Valmy;75010;Restaurant ou traiteur;non;Retrait de commandes en magasin;Fric-Frac a revisité le croque-monsieur avec des Meilleurs Ouvriers de France afin de concevoir des recettes originales.;;https://fricfrac.fr;01 42 85 87 34;contact@fricfrac.fr;"{""coordinates"": [2.3640095729650326, 48.872408587146374], ""type"": ""Point""}";48.872408587146374, 2.3640095729650326
Carton Plein;132 rue des poissonniers;75018;Autre;non;Livraisons à domicile, Retrait de commandes en magasin;Nous vendons des cartons de seconde main, moins cher et de grande qualité.;;https://www.cartonplein.org;07 77 08 27 76;bonjour@cartonplein.org;"{""coordinates"": [2.3531555893155005, 48.89589988186917], ""type"": ""Point""}";48.89589988186917, 2.3531555893155005
La Taverne du Cap Vert et du Brésil;25 rue Daubenton;75005;Restaurant ou traiteur;non;Livraisons à domicile, Retrait de commandes en magasin;Pour les amateurs d'authenticité de voyages culinaire et de saveurs brésiliennes, la Taverne est un lieu de prédilection.;;;06 67 45 02 25;seixas@hotmail.fr;"{""coordinates"": [2.3529302512237864, 48.841162373863014], ""type"": ""Point""}";48.841162373863014, 2.3529302512237864
La Fine Fleur;3 rue Duperré;75009;Autre;non;Livraisons à domicile;Boutique en ligne proposant une sélection d’articles éco-responsables, issus de marques engagées.;;https://lafinefleur.co/;;clement@lafinefleur.co;"{""coordinates"": [2.3366451871330067, 48.88202956788452], ""type"": ""Point""}";48.88202956788452, 2.3366451871330067
Maison Lévy;20 rue Taylor;75010;Autre;non;Retrait de commandes en magasin;"Maison Lévy imagine des objets de décoration inspirés d’œuvres picturales, ses créations invitent au voyage et font vivre l’art au quotidien.
Création et fabrication française.";;https://maisonlevy.fr/fr/;09 52 98 96 07;contact@maisonlevy.fr;"{""coordinates"": [2.3594636099424764, 48.87011761101205], ""type"": ""Point""}";48.87011761101205, 2.3594636099424764
Katia concept store;16 rue des taillandiers;75011;Autre;non;Retrait de commandes en magasin;Concept store pour la famille des cosmétiques pour prendre soin des grands et de la puériculture, vêtements, vaisselles,poupées pour les enfants !!;;;07 52 63 09 21;laboutiquedekatia@yahoo.fr;"{""coordinates"": [2.375210394196802, 48.854539657297494], ""type"": ""Point""}";48.854539657297494, 2.375210394196802
Ola's Café;14 Rue Marcadet;75018;Restaurant ou traiteur;non;Retrait de commandes en magasin;Du bon café et plats végétariens;;;06 45 91 27 37;olascontact@gmail.com;"{""coordinates"": [2.3537383627708226, 48.8904091000217], ""type"": ""Point""}";48.8904091000217, 2.3537383627708226
Cuisinella;12 boulevard du Temple;75011;Bricolage;non;Livraisons à domicile;Notre commerce propose un service à domicile pour effectuer le relevé de mesures à domicile chez nos clients pour réaliser leur projet d’aménagement d’espace de vie (salon, cuisine, chambre etc...);;;07 60 87 07 99;paul.runge@cuisinella75-paris11.com;"{""coordinates"": [2.3663493258443147, 48.86424761822364], ""type"": ""Point""}";48.86424761822364, 2.3663493258443147
Librairie chrétienne CLC;47 49 rue Quincampoix;75004;Librairie;non;Retrait de commandes en magasin;Librairie Chrétienne évangélique et protestante. Un grand choix de bibles et livres chrétiens. Bible gros caractère, bibles pour enfants. Site internet : www.clcfrance.com;;http://www.clcfrance.com;01 42 72 09 32;paris@clcfrance.com;"{""coordinates"": [2.3505016025276713, 48.861224525896404], ""type"": ""Point""}";48.861224525896404, 2.3505016025276713
Sauvage Belleville;112 Boulevard de Belleville;75020;Restaurant ou traiteur;non;Retrait de commandes en magasin;Restaurant de quartier.;;http://www.instagram.com/sauvagebelleville;06 77 72 99 78;sauvagebelleville@gmail.com;"{""coordinates"": [2.3784297980797326, 48.87104867583621], ""type"": ""Point""}";48.87104867583621, 2.3784297980797326
La tête ailleurs;42 rue de la Folie-Méricourt;75011;Librairie;non;Retrait de commandes en magasin;Littérature, essais, livres jeunesse, romans graphiques… Merci pour votre soutien !;;http://parislibrairie.fr;09 81 77 40 60;contact@la-teteailleurs.com;"{""coordinates"": [2.372542823356057, 48.863529287077085], ""type"": ""Point""}";48.863529287077085, 2.372542823356057
Monsieur le Fleuriste;209 avenue Daumesnil;75012;Fleuriste;non;Livraisons à domicile, Retrait de commandes en magasin;"Monsieur le fleuriste
toujours à votre service
 
du mardi au samedi entre 10h et 19h
 
 
Arrivages réguliers de fleurs coupées et plantes
Prenez vos commandes à l’avance";;http://www.monsieurlefleuriste.fr;01 86 95 01 06;monsieurlefleuriste@outlook.fr;"{""coordinates"": [2.39849469844024, 48.838742371174604], ""type"": ""Point""}";48.838742371174604, 2.39849469844024
Mamajia;88 rue des gravilliers;75003;Restaurant ou traiteur;non;Retrait de commandes en magasin;Restaurant de cuisine asiatique;;;01 42 77 80 88;Acaxu76@gmail.com;"{""coordinates"": [2.353928232428171, 48.864670047667346], ""type"": ""Point""}";48.864670047667346, 2.353928232428171
Atelier AOFLO - Obag';32 rue Rébeval;75019;Autre;non;Livraisons à domicile, Retrait de commandes en magasin;Venez découvrir à l'atelier AOFLO  toutes nos créations imaginées et fabriquées sur place ainsi qu'une sélection de produits artisanaux du quartier (bières, savons, bijoux, bouillotte sèche, gourdes);;http://www.obag.fr;09 52 89 81 40;contact@obag.fr;"{""coordinates"": [2.378055432185715, 48.874303153995406], ""type"": ""Point""}";48.874303153995406, 2.378055432185715
Oscar & Capucine;44 rue de Babylone;75007;Autre;non;Retrait de commandes en magasin;Gâteaux personnalisés, tartes, entremets, cookies... élaborés avec des produits de saison;;http://www.oscaretcapucine.com;;contact@oscaretcapucine.com;"{""coordinates"": [2.3185935843650984, 48.8517652220649], ""type"": ""Point""}";48.8517652220649, 2.3185935843650984
EL NOPAL;5 rue Duperré;75009;Restaurant ou traiteur;non;Retrait de commandes en magasin;Taquería Mexicaine à Pigalle;;https://www.elnopalparis.com/pigalle-taqueria;07 60 89 20 87;elnopal.paris@gmail.com;"{""coordinates"": [2.336507062206981, 48.882023723061884], ""type"": ""Point""}";48.882023723061884, 2.336507062206981
Marjolaine;112 rue Damrémont;75018;Restaurant ou traiteur;non;Livraisons à domicile, Retrait de commandes en magasin;cuisine raffinée franco-vietnamienne;;http://www.instagram.com/marjolaine_paris18;01 42 64 19 10;emibench@yahoo.fr;"{""coordinates"": [2.336919656718056, 48.89423688560816], ""type"": ""Point""}";48.89423688560816, 2.336919656718056
Naturalia;44  avenue d'Italie;75013;Autre;non;Livraisons à domicile;;Commerce  spécialisé en produits issus de l'agriculture  biologique;https://www.naturalia.fr;01 45 65 15 22;italie@naturalia.fr;"{""coordinates"": [2.356373402995577, 48.82814319349958], ""type"": ""Point""}";48.82814319349958, 2.356373402995577
Buci News;4 rue Grégoire de Tours;75006;Presse et papeterie;non;Retrait de commandes en magasin;"Papeterie - Presse - Calendriers de l’Avent -
Ouvert tous les jours
Lundi au samedi de 8h30 à 19h00
Dimanche de 9h30 à 14h00";;;01 43 54 62 65;contact@evabazart.fr;"{""coordinates"": [2.3378974758355486, 48.853597210949566], ""type"": ""Point""}";48.853597210949566, 2.3378974758355486
JINCHAN SHOKUDO;154 rue du Faubourg saint Antoine;75012;Restaurant ou traiteur;non;Livraisons à domicile, Retrait de commandes en magasin;Authentique izakaya japonais 100% fait maison avec des produits frais ou importés du Japon !;;https://pickup.deliverect.com/jinchanshokudo/fr/order/;01 43 47 25 50;jinchanshokudo@jinchangroup.com;"{""coordinates"": [2.3804859640807488, 48.850334535704015], ""type"": ""Point""}";48.850334535704015, 2.3804859640807488
LA BONBONNIERE CHOCOLATERIE;4 PLACE D'ESTIENNE D'ORVES;75009;Chocolaterie - Pâtisserie;non;Livraisons à domicile, Retrait de commandes en magasin;Chocolaterie artisanale à Paris 9ème depuis 1925, tenue par la même famille depuis lors. Chocolats et confiseries de très grande qualité ! Cadeaux de fin d'année, prestations entreprises.;CHOCOLATERIE ARTISANALE CONFISERIE;https://www.la-bonbonniere.com;01 48 74 23 38;eboutique@la-bonbonniere.com;"{""coordinates"": [2.3323471614263953, 48.87704255560128], ""type"": ""Point""}";48.87704255560128, 2.3323471614263953
Le galopin de lulu;24 rue des taillandiers;75011;Restaurant ou traiteur;non;Retrait de commandes en magasin;Le bistrot des fistons, plats savoureux concoctés tous les jours;;http://restaurantchezlulu.com/legalopin-bastille/;01 47 70 04 53;mamieabastille@gmail.com;"{""coordinates"": [2.374807258582122, 48.85534511257556], ""type"": ""Point""}";48.85534511257556, 2.374807258582122
Bangkok Express;5 rue Mademoiselle;75015;Restaurant ou traiteur;non;Livraisons à domicile, Retrait de commandes en magasin;Cuisine thaïlandaise et vietnamienne. Restauration Vente à emporter et Livraison à domicile.;;https://www.ubereats.com/fr/paris/food-delivery/bangkok-express/5xAbDW-ARrGOOeKaN1qABw;06 87 21 56 50;sam.chov@gmail.com;"{""coordinates"": [2.2938595427886135, 48.84361091939883], ""type"": ""Point""}";48.84361091939883, 2.2938595427886135
Kalimera;87 rue du Charolais;75012;Restaurant ou traiteur;non;Livraisons à domicile, Retrait de commandes en magasin;KALIMERA est un concept de cuisine grecque moderne qui met à l’honneur l’huile d’olive extra vierge bio de notre famille produite en Laconie. Souvlakia, moussaka et salades.;;https://www.kalimera.london;07 61 34 85 30;Telemaque@kalimera.paris;"{""coordinates"": [2.3814046874628674, 48.84410027076197], ""type"": ""Point""}";48.84410027076197, 2.3814046874628674
Café ou Thé;65 rue de la Roquette;75011;Autre;non;Livraisons à domicile, Retrait de commandes en magasin;Nous vous proposons les cafés Pfaff, les thés Comptoir Français du Thé que vous pouvez accompagner de chocolats Verdier , de biscuits fondants ou croustillants , de confitures La Cuillère Gourmande ..;Cafés & Thés;https://www.cafeouthe.ollca.com;09 66 91 88 71;cafeoutheroquette@gmail.com;"{""coordinates"": [2.3763446861332436, 48.85630773564797], ""type"": ""Point""}";48.85630773564797, 2.3763446861332436
Librairie Delamain;155 Rue Saint Honoré;75001;Librairie;non;Livraisons à domicile, Retrait de commandes en magasin;"Cette librairie boisée propose des ouvrages scolaires, livres pour enfants, spécialisés, de poche et des BD.
Librairie depuis 1708";;https://www.librairie-delamain.com/click-collect-et-livraison/ssh-6645;01 42 61 48 78;delamain@librairie-delamain.com;"{""coordinates"": [2.336037905425209, 48.86293502719211], ""type"": ""Point""}";48.86293502719211, 2.336037905425209
Little Café;62 rue du roi de Sicile;75004;Restaurant ou traiteur;non;Livraisons à domicile, Retrait de commandes en magasin;"Cuisine française traditionnelle, avec des produits frais et fait maison 
Bon rapport qualité prix";;https://www'littlecafeparis.fr;01 48 87 43 36;Littlecafeparis@gmail.com;"{""coordinates"": [2.3559635500641365, 48.856930982108835], ""type"": ""Point""}";48.856930982108835, 2.3559635500641365
Léandrés;78, Rue de Maubeuge;75009;Restaurant ou traiteur;non;Livraisons à domicile, Retrait de commandes en magasin;Vente de café de spécialité (à boire mais aussi en sachets pour la maison, grains/moulu) et de spécialités colombiennes salées  (empanadas, arepas, pan de bono) et gourmandises sucrées !;;http://www.leandres.paris;09 86 79 57 29;leandres.happy@gmail.com;"{""coordinates"": [2.348016661926181, 48.879147282215314], ""type"": ""Point""}";48.879147282215314, 2.348016661926181
PIPELINE Store Batignolles;94 Boulevard des Batignolles;75017;Alimentation générale et produits de première nécessité;non;Livraisons à domicile, Retrait de commandes en magasin;La sélection de cigarettes électroniques et eliquides pour le débutant jusqu'à l'utilisateur avancé.;;http://www.pipeline-store.fr;09 80 62 37 19;sav@fr-pipeline.com;"{""coordinates"": [2.317460470459764, 48.8817046012205], ""type"": ""Point""}";48.8817046012205, 2.317460470459764
Bubble Hair ESS;26 Rue Paul Barruel;75015;Autre;non;Retrait de commandes en magasin;Bubble hair et d'utilité sociale et solidaire agréé sécurité sociale qui soutient les enfant malades du cancer perruque médical pour femme Réaliser un achat solidaire bijou = un don a un enfant;;;07 83 70 68 32;contact@bubblehair.com;"{""coordinates"": [2.305186012554717, 48.8384866511195], ""type"": ""Point""}";48.8384866511195, 2.305186012554717
Artazart librairie galerie;83 quai de Valmy;75010;Librairie;non;Livraisons à domicile, Retrait de commandes en magasin;Librairie galerie spécialisée dans l'image, depuis 20 ans au bord du canal Saint Martin. Une importante offre de ivres jeunesse ou de livres de photo, très souvent signés par les artistes…;;http://www.artazart.com;01 40 40 24 03;info@artazart.com;"{""coordinates"": [2.363787078834677, 48.87269247936707], ""type"": ""Point""}";48.87269247936707, 2.363787078834677
Bocoloco;27 rue du Chemin Vert;75011;Épicerie fine;non;Livraisons à domicile;Bocoloco est une épicerie en ligne de produits Bio et locaux vendus en vrac. Nous livrons vos courses de vrac dès le lendemain au pied de votre porte. Tout pour se simplifier la vie sans plastique !;;https://www.bocoloco.fr;;alexis@bocoloco.fr;"{""coordinates"": [2.3730832166386118, 48.85858732970684], ""type"": ""Point""}";48.85858732970684, 2.3730832166386118
Laurette Broll Ceramic;47 avenue Gambetta;75020;Artisanat d'art;oui;Livraisons à domicile, Retrait de commandes en magasin;"Boutique - Atelier de céramique.
Fabrication et vente sur place d'art de la table et objets de décoration en grès. L'atelier offre une très large palette de couleur d'émaux.";;https://www.laurettebroll.com;06 78 30 80 19;laurettebroll@gmail.com;"{""coordinates"": [2.393829116038252, 48.86460284575503], ""type"": ""Point""}";48.86460284575503, 2.393829116038252
WELL-NEST;26 rue st Ambroise;75011;Autre;non;Livraisons à domicile, Retrait de commandes en magasin;Décoration d'intérieur et arts de la table éco responsables, avec Salon de thé.  L'artisanat en provenance de plusieurs pays.  Textiles, arts de la table, senteurs maison, cosmétiques naturelles...;;https://wellnest-paris.com;06 22 77 50 01;wellnest-paris@gmail.com;"{""coordinates"": [2.3788857900549694, 48.86278582534537], ""type"": ""Point""}";48.86278582534537, 2.3788857900549694
A TRIANON;6 RUE DE CHALIGNY;75012;Chocolaterie - Pâtisserie;non;Livraisons à domicile, Retrait de commandes en magasin;A TRIANON est une maison de qualité fondée en 1962. Chocolat artisanal, macarons et autres gourmandises sucrées sont fabriqués par de petits artisans français.;chocolaterie confiserie cadeaux;https://www.atrianon.com;01 43 44 48 80;contact@atrianon.com;"{""coordinates"": [2.3836505431054302, 48.84542109110826], ""type"": ""Point""}";48.84542109110826, 2.3836505431054302
SARL BEST OUEST;84 RUE DE L'OUEST;75014;Disquaire;non;Livraisons à domicile, Retrait de commandes en magasin;;;;06 88 09 06 13;bestouest@yahoo.fr;"{""coordinates"": [2.317128374144998, 48.83498888144565], ""type"": ""Point""}";48.83498888144565, 2.317128374144998
LA PERLE DE DALIAN;13 RUE PETION;75011;Restaurant ou traiteur;non;Livraisons à domicile;;;;06 69 62 07 21;papillonlu@hotmail.com;"{""coordinates"": [2.3813850648989536, 48.85876457162934], ""type"": ""Point""}";48.85876457162934, 2.3813850648989536
Boulanger;56 boulevard de rochechouart;75018;Équipements informatiques;non;Livraisons à domicile, Retrait de commandes en magasin;Téléphonie _ Informatique - Image - Son - Petit et gros électroménager disponible en magasin, en retrait ou en livraison;;https://www.boulanger.com/magasins/ile-de-france/paris/paris/56-boulevard-de-rochechouart;;caisses-montmartre@boulanger.com;"{""coordinates"": [2.345423415244774, 48.88334713891357], ""type"": ""Point""}";48.88334713891357, 2.345423415244774
Digital media process;46 rue Notre Dame des Champs;75006;Autre;non;Retrait de commandes en magasin;Digital media process toujours à vos côtés, en toute sécurité avec le Click and Collect, pour tous vos projets d’impressions, reliures, numérisation, tirages photos, Cadres Nielsen ….;;http://www.digitalmediaprocess.com/;01 45 44 14 40;digitalmedia@orange.fr;"{""coordinates"": [2.3301323378685543, 48.84423912048468], ""type"": ""Point""}";48.84423912048468, 2.3301323378685543
Boucherie Marguerite;4 Rue de Lourmel;75015;Boucherie - charcuterie - rôtisserie;non;Livraisons à domicile;Charcuterie;;https://www.epicery.com/epiceries/boucherie-marguerite;;alain.grandiere@wanadoo.fr;"{""coordinates"": [2.2920317622853132, 48.85040014828935], ""type"": ""Point""}";48.85040014828935, 2.2920317622853132
SUPU RAMEN AUGUSTINS;53 quai des grands augustins;75006;Restaurant ou traiteur;non;Livraisons à domicile, Retrait de commandes en magasin;"Nous maintenons nos plats livrés et à emporter

Tous les jours de 11h30 à 14h30 et de 18h30 à 21h30



Commandez sur Deliveroo, Uber Eat et Just Eat

Ou  sur notre site pour les plats à emporter";;http://www.supuramen.com;01 43 25 45 94;supuramen@guysavoy.com;"{""coordinates"": [2.3413491704574936, 48.85528681626968], ""type"": ""Point""}";48.85528681626968, 2.3413491704574936
LUCKY LUCIANO;46 rue des Dames;75017;Restaurant ou traiteur;non;Livraisons à domicile, Retrait de commandes en magasin;Pizza artisanale, produits frais, fromages, charcuteries et vins italiens;;https://www.luckylucianopizza.fr/;09 83 73 64 83;vgrossfeld@groupecode.fr;"{""coordinates"": [2.322636884727576, 48.88411549225497], ""type"": ""Point""}";48.88411549225497, 2.322636884727576
Christian Collin;53 rue saint antione;75004;Fleuriste;non;Livraisons à domicile, Retrait de commandes en magasin;;;;01 42 72 44 48;saintantoine.christiancollin@gmail.com;"{""coordinates"": [2.364237150064962, 48.8539728762115], ""type"": ""Point""}";48.8539728762115, 2.364237150064962
Diep;55 rue Pierre Charron;75008;Restaurant ou traiteur;non;Livraisons à domicile, Retrait de commandes en magasin;Spécialités chinoises, thaïlandaises, vietnamiennes encore meilleures à la maison;;https://restaurant-diep.business.site/;01 45 63 52 76;restaurantdiep@gmail.com;"{""coordinates"": [2.30306314396766, 48.869513792928835], ""type"": ""Point""}";48.869513792928835, 2.30306314396766
OH and co;32 Rue Blomet;75015;Restaurant ou traiteur;non;Livraisons à domicile, Retrait de commandes en magasin;Cuisine de STREET FOOD 100% FAIT MAISON et responsable. Ici pas de congèle ni de micro-onde, livraison de produits frais journalière et une crémerie provenant directement de la ferme de Viltain 78.;;http://ohandco.fr;09 81 72 96 16;ohandcoparis@gmail.com;"{""coordinates"": [2.3066088783713217, 48.84304146194066], ""type"": ""Point""}";48.84304146194066, 2.3066088783713217
IMAGES SERVICE;45, rue Mazarine;75006;Autre;non;Livraisons à domicile, Retrait de commandes en magasin;"Durant le confinement, nous réalisons du click & collect pour tous les tirages photos grâce à notre application ""mobile photo kiosk"" code magasin 6859. Nous imprimons aussi des photos d'identités";;http://www.imageservice.fr;01 46 33 79 39;odeon@imageservice.fr;"{""coordinates"": [2.3383541550194513, 48.8540036489966], ""type"": ""Point""}";48.8540036489966, 2.3383541550194513
La Jupe du Succès;8 impasse des 3 soeurs;75011;Artisanat d'art;oui;Livraisons à domicile, Retrait de commandes en magasin;La Jupe du Succès décline un vestiaire porte-bonheur luxueux et made in France, inspiré des superstitions positives qui courent autour du monde. Des jupes, pulls et accessoires garantis 100% Succès !;;https://www.lajupedusucces.com/;06 71 31 24 60;bonjour@lajupedusucces.com;"{""coordinates"": [2.3775213350634363, 48.85861260072913], ""type"": ""Point""}";48.85861260072913, 2.3775213350634363
Rose Cartel;10 rue de Picardie;75003;Autre;non;Livraisons à domicile, Retrait de commandes en magasin;;;http://www.rosecartelparis.com;;Rosecartelparis@gmail.com;"{""coordinates"": [2.3624417764052903, 48.86345441534556], ""type"": ""Point""}";48.86345441534556, 2.3624417764052903
Une autre femme;51 rue du commerce;75015;Autre;non;Livraisons à domicile, Retrait de commandes en magasin;Multi marque de vêtements féminin moyen haut de gamme , existe de plus de 30 ans;;;06 12 78 82 84;Uneautrefemme@gmail.com;"{""coordinates"": [2.295490081193236, 48.84643214181117], ""type"": ""Point""}";48.84643214181117, 2.295490081193236
BléNoir Auguste;88 rue saint martin;75004;Restaurant ou traiteur;non;Retrait de commandes en magasin;"Bonjour 

Le restaurant est une crêperie";;http://www.blenoirgroup.com;06 03 27 41 52;juliennoiret@gmail.com;"{""coordinates"": [2.3507185783100604, 48.859669832722204], ""type"": ""Point""}";48.859669832722204, 2.3507185783100604
Parachuteproshop;11 rue de la Chine;75020;Artisanat d'art;non;Retrait de commandes en magasin;Sac à main fait dans notre atelier;;;06 07 60 01 75;parachuteproshop@orange.fr;"{""coordinates"": [2.3993172296585747, 48.86693564408609], ""type"": ""Point""}";48.86693564408609, 2.3993172296585747
Atelier Fwells;129 bis avenue de choisy;75013;Artisanat d'art;oui;Livraisons à domicile;"Atelier de sérigraphie artisanale et studio graphique fondé en 2011 à Paris (13)
Retrouvez nos réalisations sur notre shop Etsy ""cornerserigraphie""  www.fwells.com";;https://www.etsy.com/fr/shop/CornerSerigraphie;06 79 75 07 29;roma.bernard@gmail.com;"{""coordinates"": [2.3593855806709048, 48.82658120063232], ""type"": ""Point""}";48.82658120063232, 2.3593855806709048
Parfums Lubin;21 rue des canettes;75006;Cosmétique;non;Retrait de commandes en magasin;Lubin est un des plus anciens parfumeurs parisiens. N'hésitez pas à venir découvrir nos parfums et créations originales.;;https://www.lubin.eu;01 43 29 52 42;boutique@lubin.eu;"{""coordinates"": [2.3337854995028264, 48.85175700043204], ""type"": ""Point""}";48.85175700043204, 2.3337854995028264
Les Enfants Gâtés;6 Bis rue des récollets;75010;Caviste - Brasserie;non;Livraisons à domicile, Retrait de commandes en magasin;Nous proposons une large sélection de vins naturels et biodynamiques;;http://www.les-enfants-gates.fr/;06 50 72 08 68;sas.teknikal@gmail.com;"{""coordinates"": [2.36195826224144, 48.874486487661784], ""type"": ""Point""}";48.874486487661784, 2.36195826224144
Bonjour Bibiche;20 rue Saint Fiacre;75002;Autre;non;Livraisons à domicile, Retrait de commandes en magasin;Bonjour Bibiche est une boutique de cadeaux en ligne qui réunit de jeunes créateurs et de grandes marques de décoration, papeterie, accessoires, bijoux, jouets pour enfants, etc.;;https://www.bonjourbibiche.com/;01 40 28 43 69;juliette@bonjourbibiche.com;"{""coordinates"": [2.3459134486451423, 48.87070801394247], ""type"": ""Point""}";48.87070801394247, 2.3459134486451423
Naturalia;45 rue Buzenval;75020;Autre;non;Livraisons à domicile;Réception tous les jours de produits frais (crèmerie /fromage/produits végétaux ...) fruits et légumes;;https://www.naturalia.fr/;01 43 56 17 70;buzenval@naturalia.fr;"{""coordinates"": [2.401457232974901, 48.85144713709574], ""type"": ""Point""}";48.85144713709574, 2.401457232974901
chez peppe;30 rue traversière;75012;Restaurant ou traiteur;non;Livraisons à domicile, Retrait de commandes en magasin;Ouvert depuis 2002, ce traiteur italien propose une large gamme de produits frais maison et d'épicerie artisanaux. Possibilité de commander pour des occasions, buffets ...;;https://www.chezpeppe.fr;01 43 47 31 69;chezpeppe@gmail.com;"{""coordinates"": [2.3741474192409218, 48.848290558369065], ""type"": ""Point""}";48.848290558369065, 2.3741474192409218
Clinique vétérinaire du Dr Le Bail Laure;24rue de l'abbé Groult;75015;Autre;non;Retrait de commandes en magasin;"Clinique vétérinaire. 
Aliments apour animaux de compagnie pouvant être commandés sur le site Club vetshop est livrés gratuitement à la clinique en click and collect.";;https://www.votreveto.net/lebail/default.aspx;01 45 31 30 98;Veterinaire75015@orange.fr;"{""coordinates"": [2.294235971594681, 48.842019029025145], ""type"": ""Point""}";48.842019029025145, 2.294235971594681
Casa Botticelli;142 boulevard de Charonne;75020;Restaurant ou traiteur;non;Retrait de commandes en magasin;Casa Botticelli , c'est l'Italie à portée de main, avec sa cuisine,(pâtes, pizzas, salades, vins, ....) Le tout pour un bon rapport qualité/prix;;http://www.casabotticelli.fr;01 43 67 57 66;casa.botticelli@orange.fr;"{""coordinates"": [2.395069060880224, 48.85618285324999], ""type"": ""Point""}";48.85618285324999, 2.395069060880224
Flowrette;80bis rue de l'ouest;75014;Fleuriste;non;Livraisons à domicile;"Flowrette est une boutique spécialiste de la fleur séchée. 
L’équipe Flowrette propose des bouquets de fleurs séchées confectionnés avec amour et passion dans notre atelier parisien.";;http://www.flowrette.com;;hello@flowrette.com;"{""coordinates"": [2.3175029725488754, 48.83519942015124], ""type"": ""Point""}";48.83519942015124, 2.3175029725488754
Le Molière Cave à Bière;12 rue de buci;75006;Caviste - Brasserie;non;Livraisons à domicile, Retrait de commandes en magasin;Vente de bières artisanales;;http://www.lemoliereparis.com;06 62 04 55 08;eric.venezia@wanadoo.fr;"{""coordinates"": [2.3372946017962684, 48.85390627066933], ""type"": ""Point""}";48.85390627066933, 2.3372946017962684
L'Art de la Joie;142, rue Saint-Charles;75015;Librairie;non;Retrait de commandes en magasin;;;;01 45 78 92 95;lartdelajoie3@orange.fr;"{""coordinates"": [2.28217955739681, 48.84302340522958], ""type"": ""Point""}";48.84302340522958, 2.28217955739681
L'Epicerie des Pipalottes;22 rue Poncelet;75017;Épicerie fine;non;Livraisons à domicile, Retrait de commandes en magasin;Nous proposons à emporter et en livraison la cuisine et les pâtisserie des chefs de notre restaurant La Table des Pipalottes ainsi que des centaines de références d'épicerie fine.;;http://www.lespipalottes.com;07 69 37 34 36;epicerie@lespipalottes.com;"{""coordinates"": [2.297613775520327, 48.879295039064665], ""type"": ""Point""}";48.879295039064665, 2.297613775520327
L'Empire Paris;48 RUE DE LARBRE SEC;75001;Autre;non;Retrait de commandes en magasin;Spa Privatif avec Sauna, Jacuzzi entièrement privatisé pour deux personnes pour une heure minimum;Bien Etre SPA Privatif;https://app.flexybeauty.com/empire-paris/home;01 40 15 06 06;info@lempire-paris.com;"{""coordinates"": [2.3425630435489744, 48.8607589165613], ""type"": ""Point""}";48.8607589165613, 2.3425630435489744
Orphea beauté;26 rue Godot de mauroy;75009;Autre;non;Livraisons à domicile, Retrait de commandes en magasin;Nous proposons les marques Payot, Revitalash, LPG et Decleor;Institut de beauté;https://www.orphea-beauty.fr;01 47 42 82 03;annabelle0410@gmail.com;"{""coordinates"": [2.327290584453902, 48.871718715500315], ""type"": ""Point""}";48.871718715500315, 2.327290584453902
Apogé;61 avenue Pierre Mendes France;75013;Caviste - Brasserie;non;Retrait de commandes en magasin;Offre -15% à partir de 3 bouteilles panachables de vins & champagne;;;01 45 70 98 37;Austerlitz@apoge.fr;"{""coordinates"": [2.3685603709497403, 48.840165522229675], ""type"": ""Point""}";48.840165522229675, 2.3685603709497403
Cofftea;8 rue berthollet;75005;Restaurant ou traiteur;non;Retrait de commandes en magasin;Coffea shop culinaire. Plats du jour, patisseries, cafés de spécialité et accessoires, meubles 366...;et coffeashop;https://cofftea-shop.com;;;"{""coordinates"": [2.34579497626462, 48.83968995331785], ""type"": ""Point""}";48.83968995331785, 2.34579497626462
